# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Afu1g04560	Afu1g04560	Afu1g04560-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
Afu1g04570	Afu1g04570	Afu1g04570-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu1g04575	Afu1g04575	Afu1g04575-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu1g06890	Afu1g06890	Afu1g06890-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g06900	Afu1g06900	Afu1g06900-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu1g06910	Afu1g06910	Afu1g06910-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g06920	Afu1g06920	Afu1g06920-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g09570	Afu1g09570	Afu1g09570-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g09580	Afu1g09580	Afu1g09580-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g09590	Afu1g09590	Afu1g09590-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g09600	Afu1g09600	Afu1g09600-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g09610	Afu1g09610	Afu1g09610-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g11190	Afu1g11190	Afu1g11190-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g11200	Afu1g11200	Afu1g11200-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g11210	Afu1g11210	Afu1g11210-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g11220	Afu1g11220	Afu1g11220-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g11950	Afu1g11950	Afu1g11950-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu1g11960	Afu1g11960	Afu1g11960-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g14570	Afu1g14570	Afu1g14570-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g14580	Afu1g14580	Afu1g14580-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g14590	Afu1g14590	Afu1g14590-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g14600	Afu1g14600	Afu1g14600-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g14610	Afu1g14610	Afu1g14610-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g14620	Afu1g14620	Afu1g14620-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g15500	Afu1g15500	Afu1g15500-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu1g15510	Afu1g15510	Afu1g15510-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g16250	Afu1g16250	Afu1g16250-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g16260	Afu1g16260	Afu1g16260-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g16270	Afu1g16270	Afu1g16270-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g16280	Afu1g16280	Afu1g16280-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu1g16290	Afu1g16290	Afu1g16290-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g17710	Afu1g17710	Afu1g17710-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g01170	Afu2g01170	Afu2g01170-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g01180	Afu2g01180	Afu2g01180-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g01190	Afu2g01190	Afu2g01190-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu2g01200	Afu2g01200	Afu2g01200-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g01430	Afu2g01430	Afu2g01430-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g01440	Afu2g01440	Afu2g01440-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g01450	Afu2g01450	Afu2g01450-T	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Afu2g01460	Afu2g01460	Afu2g01460-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g01470	Afu2g01470	Afu2g01470-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g01480	Afu2g01480	Afu2g01480-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g01490	Afu2g01490	Afu2g01490-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g04220	Afu2g04220	Afu2g04220-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g04230	Afu2g04230	Afu2g04230-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g04240	Afu2g04240	Afu2g04240-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g04262	Afu2g04262	Afu2g04262-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu2g04270	Afu2g04270	Afu2g04270-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g04280	Afu2g04280	Afu2g04280-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g06200	Afu2g06200	Afu2g06200-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g06205	Afu2g06205	Afu2g06205-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g07440	Afu2g07440	Afu2g07440-T	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
Afu2g07450	Afu2g07450	Afu2g07450-T	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
Afu2g10610	Afu2g10610	Afu2g10610-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g10620	Afu2g10620	Afu2g10620-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu2g10630	Afu2g10630	Afu2g10630-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g10640	Afu2g10640	Afu2g10640-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g10650	Afu2g10650	Afu2g10650-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g12650	Afu2g12650	Afu2g12650-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g12660	Afu2g12660	Afu2g12660-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g12680	Afu2g12680	Afu2g12680-T	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Afu2g12690	Afu2g12690	Afu2g12690-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu2g12700	Afu2g12700	Afu2g12700-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g12710	Afu2g12710	Afu2g12710-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g13265	Afu2g13265	Afu2g13265-T	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Afu2g13270	Afu2g13270	Afu2g13270-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g13280	Afu2g13280	Afu2g13280-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu2g13530	Afu2g13530	Afu2g13530-T	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Afu2g13540	Afu2g13540	Afu2g13540-T	protein_coding	2	0	1	0	0	0	0	1	0	0	2	0	0	0	0
Afu2g13550	Afu2g13550	Afu2g13550-T	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Afu2g13560	Afu2g13560	Afu2g13560-T	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Afu2g13570	Afu2g13570	Afu2g13570-T	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Afu2g17620	Afu2g17620	Afu2g17620-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu2g17630	Afu2g17630	Afu2g17630-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu2g17640	Afu2g17640	Afu2g17640-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu2g17650	Afu2g17650	Afu2g17650-T	protein_coding	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Afu2g17660	Afu2g17660	Afu2g17660-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu2g17670	Afu2g17670	Afu2g17670-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu2g17680	Afu2g17680	Afu2g17680-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu3g00180	Afu3g00180	Afu3g00180-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g00190	Afu3g00190	Afu3g00190-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g01260	Afu3g01260	Afu3g01260-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu3g01270	Afu3g01270	Afu3g01270-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu3g01280	Afu3g01280	Afu3g01280-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu3g01290	Afu3g01290	Afu3g01290-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu3g02470	Afu3g02470	Afu3g02470-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g02480	Afu3g02480	Afu3g02480-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu3g02500	Afu3g02500	Afu3g02500-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g02520	Afu3g02520	Afu3g02520-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g06290	Afu3g06290	Afu3g06290-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g06300	Afu3g06300	Afu3g06300-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Afu3g06310	Afu3g06310	Afu3g06310-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g06320	Afu3g06320	Afu3g06320-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g06330	Afu3g06330	Afu3g06330-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g07680	Afu3g07680	Afu3g07680-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g07690	Afu3g07690	Afu3g07690-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g07700	Afu3g07700	Afu3g07700-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g07710	Afu3g07710	Afu3g07710-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g07720	Afu3g07720	Afu3g07720-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g10240	Afu3g10240	Afu3g10240-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu3g10250	Afu3g10250	Afu3g10250-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g10610	Afu3g10610	Afu3g10610-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu3g10620	Afu3g10620	Afu3g10620-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g10630	Afu3g10630	Afu3g10630-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g10640	Afu3g10640	Afu3g10640-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g12920	Afu3g12920	Afu3g12920-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g12930	Afu3g12930	Afu3g12930-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g12940	Afu3g12940	Afu3g12940-T	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1
Afu3g12950	Afu3g12950	Afu3g12950-T	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1
Afu3g12960	Afu3g12960	Afu3g12960-T	protein_coding	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
Afu3g12970	Afu3g12970	Afu3g12970-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu3g12982	Afu3g12982	Afu3g12982-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g14665	Afu3g14665	Afu3g14665-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g14670	Afu3g14670	Afu3g14670-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g14680	Afu3g14680	Afu3g14680-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu3g14690	Afu3g14690	Afu3g14690-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu3g14700	Afu3g14700	Afu3g14700-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g03970	Afu4g03970	Afu4g03970-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g03980	Afu4g03980	Afu4g03980-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g03990	Afu4g03990	Afu4g03990-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g04000	Afu4g04000	Afu4g04000-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g04010	Afu4g04010	Afu4g04010-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g04230	Afu4g04230	Afu4g04230-T	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Afu4g04250	Afu4g04250	Afu4g04250-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g04815	Afu4g04815	Afu4g04815-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g04820	Afu4g04820	Afu4g04820-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g06170	Afu4g06170	Afu4g06170-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g06180	Afu4g06180	Afu4g06180-T	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Afu4g06190	Afu4g06190	Afu4g06190-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g06960	Afu4g06960	Afu4g06960-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g06970	Afu4g06970	Afu4g06970-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g06980	Afu4g06980	Afu4g06980-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu4g06990	Afu4g06990	Afu4g06990-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g08490	Afu4g08490	Afu4g08490-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g08500	Afu4g08500	Afu4g08500-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu4g08510	Afu4g08510	Afu4g08510-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g09090	Afu4g09090	Afu4g09090-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g09100	Afu4g09100	Afu4g09100-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g09110	Afu4g09110	Afu4g09110-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu4g09120	Afu4g09120	Afu4g09120-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g09130	Afu4g09130	Afu4g09130-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g13630	Afu4g13630	Afu4g13630-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g13640	Afu4g13640	Afu4g13640-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g13660	Afu4g13660	Afu4g13660-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g13670	Afu4g13670	Afu4g13670-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g14000	Afu4g14000	Afu4g14000-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g14010	Afu4g14010	Afu4g14010-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g14020	Afu4g14020	Afu4g14020-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu4g14030	Afu4g14030	Afu4g14030-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g14040	Afu4g14040	Afu4g14040-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g14580	Afu4g14580	Afu4g14580-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu4g14590	Afu4g14590	Afu4g14590-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g14600	Afu4g14600	Afu4g14600-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu4g14610	Afu4g14610	Afu4g14610-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4g14620	Afu4g14620	Afu4g14620-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu4tG(GCC)5	Afu4tG(GCC)5	Afu4tG(GCC)5-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g03040	Afu5g03040	Afu5g03040-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g03050	Afu5g03050	Afu5g03050-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g03060	Afu5g03060	Afu5g03060-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g03070	Afu5g03070	Afu5g03070-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g03950	Afu5g03950	Afu5g03950-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu5g03960	Afu5g03960	Afu5g03960-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
Afu5g03970	Afu5g03970	Afu5g03970-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu5g04110	Afu5g04110	Afu5g04110-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu5g04120	Afu5g04120	Afu5g04120-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu5g04130	Afu5g04130	Afu5g04130-T	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
Afu5g04135	Afu5g04135	Afu5g04135-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu5g04140	Afu5g04140	Afu5g04140-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu5g04150	Afu5g04150	Afu5g04150-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu5g04420	Afu5g04420	Afu5g04420-T	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
Afu5g04430	Afu5g04430	Afu5g04430-T	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
Afu5g04440	Afu5g04440	Afu5g04440-T	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0
Afu5g06450	Afu5g06450	Afu5g06450-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g06460	Afu5g06460	Afu5g06460-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Afu5g06770	Afu5g06770	Afu5g06770-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g06780	Afu5g06780	Afu5g06780-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g06790	Afu5g06790	Afu5g06790-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu5g06800	Afu5g06800	Afu5g06800-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g06810	Afu5g06810	Afu5g06810-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g08370	Afu5g08370	Afu5g08370-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu5g08380	Afu5g08380	Afu5g08380-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu5g08390	Afu5g08390	Afu5g08390-T	protein_coding	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Afu5g08410	Afu5g08410	Afu5g08410-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu5g08420	Afu5g08420	Afu5g08420-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu5g10550	Afu5g10550	Afu5g10550-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g10560	Afu5g10560	Afu5g10560-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g10570	Afu5g10570	Afu5g10570-T	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Afu5g10580	Afu5g10580	Afu5g10580-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g10630	Afu5g10630	Afu5g10630-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g10640	Afu5g10640	Afu5g10640-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g10650	Afu5g10650	Afu5g10650-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g10660	Afu5g10660	Afu5g10660-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g12710	Afu5g12710	Afu5g12710-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g12720	Afu5g12720	Afu5g12720-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu5g13392	Afu5g13392	Afu5g13392-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g13410	Afu5g13410	Afu5g13410-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g13420	Afu5g13420	Afu5g13420-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g13440	Afu5g13440	Afu5g13440-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g13450	Afu5g13450	Afu5g13450-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g13715	Afu5g13715	Afu5g13715-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
